ingredient,category
alcohol,alcohol
alcohol denat,alcohol
denatured alcohol,alcohol
benzyl alcohol,alcohol
parfum,fragrance
fragrance,fragrance
perfume,fragrance
aroma,fragrance
limonene,fragrance
linalool,fragrance
citral,fragrance
geraniol,fragrance
eugenol,fragrance
cinnamal,fragrance
citronellol,fragrance
hexyl cinnamal,fragrance
coumarin,fragrance
benzyl salicylate,fragrance
amyl cinnamal,fragrance
anisyl alcohol,fragrance
phenoxyethanol,preservative
methylparaben,preservative
propylparaben,preservative
sodium lauryl sulfate,surfactant
sodium laureth sulfate,surfactant
